movie_id,gross
tt0389860,240685326
tt0383574,1066179747
tt0452637,72785169
tt0348150,391081192
tt0449059,101058954
tt0477347,574481229
tt0443453,262552893
tt0489270,164874275
tt0381061,616502912
tt0450259,171720398
tt0382932,623726085
tt0259324,228738393
tt0425112,80743363
tt0443706,84785914
tt0822854,95696996
tt0448134,34806812
tt0478311,219922417
tt0413267,813367380
tt0449088,960996492
tt1028528,31126421
tt0795368,46789413
tt0413099,174440724
tt0418279,709709780
tt0373889,942201710
tt0829482,170812526
tt1077258,11446172
tt0432021,147717833
tt0292963,25038466
tt0480249,585410052
tt0467406,232372681
tt0472062,119483446
tt0780536,34085749
tt0409459,185382813
tt1010048,378410542
tt0327597,124596837
tt0361748,321457747
tt0947798,329398046
tt1201607,1342359942
tt1798709,48517427
tt1877832,746045700
tt1260502,489807
tt0242423,73180723
tt0162983,51880044
tt0185014,33426588
tt0183523,110983407
tt0165929,91036760
tt0122459,36609995
tt0191754,62198945
tt0210616,26385941
tt0208003,173959438
tt0120913,36754634
tt0161081,291420351
tt0205461,19748009
tt0186566,128884132
tt0195234,28741330
tt0202641,1015122
tt0249462,109283018
tt0185431,58292295
tt0199753,33463969
tt0203230,11242521
tt0190374,33978694
tt0190865,215663859
tt0241303,152699976
tt0183659,10994533
tt0181536,80049764
tt0210299,3171273
tt0189998,11155214
tt0206275,131706809
tt0190524,4224065
tt0215750,96976270
tt0125022,57756408
tt0244970,38689940
tt0227538,147934180
tt0236348,14866015
tt0225071,29715606
tt0126029,488351320
tt0189541,2335352
tt0230011,186053725
tt0146316,274703340
tt0271027,64437847
tt0133152,362211740
tt0203540,1961054
tt0208196,688523
tt0180734,44102389
tt0246464,8493890
tt0252501,30919415
tt0240890,77516304
tt0272152,65001485
tt0198781,579707738
tt0280707,87754044
tt0277027,97818139
tt0285742,45011434
tt0245844,75395048
tt0293416,4035192
tt0233469,78382433
tt0259288,52323400
tt0268380,383257136
tt0120804,102984862
tt0258000,197079546
tt0248190,62703
tt0259446,368744044
tt0145487,825025036
tt0276751,130549455
tt0278435,51806184
tt0279778,73839240
tt0265591,308552
tt0253556,82150183
tt0295701,277448382
tt0256276,14815898
tt0256415,180622424
tt0298388,25621297
tt0283084,19344615
tt0303933,57588485
tt0252076,154906693
tt0253754,67336470
tt0313737,199043471
tt0299658,306776732
tt0309912,3651462
tt0251127,177502387
tt0300471,88323487
tt0287978,179179718
tt0305669,164729679
tt0286499,76585828
tt0311289,71406573
tt0290334,407711549
tt0266543,940352645
tt0298228,41062976
tt0286716,245285165
tt0181852,433371112
tt0329575,148336445
tt0313911,58795814
tt0327137,48260279
tt0320691,95708457
tt0314412,9781854
tt0342300,69544
tt0311648,3282321
tt0316465,53293628
tt0319343,225097437
tt0314331,245203167
tt0322589,62228395
tt0337741,265328738
tt0335119,33030115
tt0335559,21513434
tt0365957,50576805
tt0361467,33251890
tt0327679,27388767
tt0377092,130126277
tt0338526,300157638
tt0350028,49718611
tt0374900,46138887
tt0327437,72178895
tt0333766,35825316
tt0361841,22035509
tt0337960,805894
tt0241025,19463185
tt0360201,41682237
tt0368658,2307092
tt0390022,61950770
tt0327919,329577
tt0359013,131977904
tt0385267,61315215
tt0375210,91196419
tt0393162,76669554
tt0386588,371594210
tt0361411,24716440
tt0360486,230884728
tt0317132,33589427
tt0397103,32833
tt0332285,1319492
tt0384504,1236518
tt0384488,1881975
tt0374536,131426169
tt0405325,86369815
tt0417001,58231520
tt0425123,102854431
tt0377107,14189860
tt0368709,52164016
tt0371606,314432837
tt0358273,186797986
tt0294870,31670620
tt0387059,6856989
tt0360717,556906378
tt0397535,162242962
tt0392465,84447
tt0402894,37691644
tt0383222,3650275
tt0401855,111476513
tt0240200,13014956
tt0396752,123276807
tt0397313,120455994
tt0437800,18948425
tt0430634,31976848
tt0327084,339795890
tt0385880,141861243
tt0445990,58480828
tt0366548,384336108
tt0449010,250425512
tt0398808,137587063
tt0413300,894983373
tt0486655,137515140
tt0252444,16217411
tt0374102,54683487
tt0371746,585796247
tt1190080,791217826
tt0804529,107559
tt1219289,161849455
tt1464540,149878437
tt1399103,1123794079
