movie_id,cluster
tt0164003,2
tt0164052,1
tt0164184,12
tt0164212,12
tt0164334,12
tt0164545,10
tt0164810,6
tt0164961,6
tt0165361,14
tt0165800,8
tt0165832,1
tt0165929,0
tt0165982,1
tt0166110,7
tt0166158,14
tt0166276,2
tt0166773,9
tt0166813,1
tt0167096,0
tt0167116,3
tt0167190,3
tt0167203,0
tt0167260,2
tt0167261,2
tt0167360,0
tt0168446,4
tt0168629,2
tt0168786,3
tt0169102,0
tt0169324,6
tt0170016,2
tt0170452,0
tt0170691,1
tt0171356,5
tt0171359,4
tt0171433,1
tt0171580,12
tt0172156,2
tt0172464,4
tt0172495,1
tt0172632,14
tt0172699,0
tt0173716,13
tt0173840,1
tt0174336,14
tt0174480,2
tt0175142,3
tt0175526,2
tt0176244,11
tt0176650,2
tt0176783,1
tt0176883,13
tt0177068,2
tt0177195,3
tt0177650,3
tt0177845,1
tt0177885,2
tt0177888,4
tt0177971,1
tt0177997,0
tt0178043,0
tt0178050,2
tt0178642,2
tt0179098,1
tt0179435,3
tt0179473,1
tt0179626,12
tt0179653,6
tt0179803,6
tt0179861,3
tt0179915,3
tt0180052,2
tt0180073,1
tt0180093,14
tt0180679,13
tt0180683,2
tt0181151,1
tt0181311,6
tt0181536,6
tt0181689,1
tt0181739,2
tt0181836,0
tt0181852,2
tt0181865,2
tt0181875,1
tt0181984,3
tt0182000,12
tt0182027,2
tt0182295,2
tt0183113,0
tt0183280,2
tt0183423,3
tt0183505,3
tt0183523,4
tt0183550,4
tt0183639,13
tt0183649,1
tt0183659,4
tt0183790,2
tt0183808,2
tt0183869,0
tt0184719,6
tt0184791,2
tt0184858,1
tt0184894,1
tt0184907,2
tt0185007,2
tt0185014,1
tt0185183,1
tt0185431,1
tt0186045,2
tt0186151,3
tt0186183,2
tt0186202,10
tt0186454,10
tt0186549,6
tt0186566,1
tt0186589,2
tt0186719,6
tt0186894,1
tt0186975,3
tt0187393,2
tt0187512,0
tt0187559,0
tt0187738,3
tt0187750,10
tt0187847,3
tt0188045,2
tt0188128,2
tt0188160,13
tt0188453,1
tt0189192,2
tt0189462,6
tt0189541,6
tt0189998,5
tt0190052,6
tt0190138,8
tt0190374,0
tt0190590,1
tt0190736,0
tt0190861,4
tt0190865,2
tt0191037,14
tt0191074,7
tt0191133,3
tt0191242,0
tt0191397,14
tt0191754,2
tt0191996,2
tt0192023,1
tt0192071,3
tt0192110,0
tt0192222,13
tt0192255,0
tt0192455,0
tt0192614,14
tt0192630,6
tt0192719,11
tt0192722,13
tt0193135,0
tt0193318,2
tt0193364,0
tt0193560,2
tt0193859,10
tt0194218,2
tt0194368,14
tt0194410,10
tt0195234,13
tt0195308,7
tt0195685,14
tt0195714,3
tt0195778,3
tt0195857,0
tt0195944,6
tt0195945,3
tt0196158,7
tt0196216,2
tt0196219,10
tt0196223,2
tt0196229,1
tt0196708,0
tt0197096,13
tt0197384,3
tt0197646,2
tt0197750,2
tt0197753,10
tt0197862,0
tt0197996,10
tt0198021,4
tt0198284,6
tt0198386,2
tt0198781,1
tt0199129,6
tt0199314,4
tt0199626,5
tt0199725,0
tt0199729,2
tt0199753,7
tt0199974,10
tt0200027,2
tt0200171,13
tt0200427,0
tt0200465,3
tt0200472,13
tt0200525,0
tt0200550,1
tt0200669,1
tt0200720,0
tt0200954,6
tt0201020,2
tt0201394,10
tt0201485,14
tt0201670,6
tt0201694,10
tt0201726,3
tt0201737,10
tt0201899,14
tt0201901,9
tt0202314,0
tt0202402,0
tt0202470,1
tt0202623,1
tt0202641,2
tt0202677,2
tt0202856,6
tt0202864,0
tt0203009,1
tt0203019,12
tt0203053,3
tt0203078,6
tt0203119,15
tt0203144,6
tt0203230,14
tt0203536,2
tt0203540,2
tt0203755,2
tt0203835,11
tt0203912,7
tt0203975,7
tt0204137,5
tt0204313,2
tt0204322,6
tt0204350,8
tt0204352,10
tt0204626,4
tt0204946,2
tt0205177,6
tt0205271,14
tt0205380,8
tt0205418,7
tt0205461,2
tt0205498,6
tt0205873,2
tt0205936,2
tt0206075,11
tt0206113,3
tt0206211,0
tt0206275,3
tt0206314,3
tt0206367,4
tt0206382,6
tt0206420,14
tt0206545,0
tt0206634,1
tt0206917,1
tt0206926,0
tt0206963,3
tt0207036,11
tt0207161,13
tt0207201,4
tt0207337,0
tt0207377,2
tt0207524,2
tt0207988,2
tt0208003,14
tt0208017,8
tt0208037,13
tt0208050,13
tt0208092,1
tt0208196,4
tt0208298,2
tt0208491,2
tt0208866,6
tt0208874,1
tt0208899,6
tt0208988,2
tt0209020,2
tt0209080,6
tt0209144,3
tt0209163,2
tt0209322,2
tt0209475,1
tt0209486,3
tt0209958,1
tt0210065,2
tt0210070,0
tt0210075,3
tt0210094,7
tt0210149,2
tt0210299,0
tt0210358,14
tt0210382,4
tt0210567,3
tt0210584,2
tt0210756,6
tt0210816,6
tt0210939,0
tt0210945,3
tt0210953,13
tt0211181,14
tt0211443,2
tt0211465,14
tt0211492,2
tt0211661,0
tt0211933,3
tt0211938,2
tt0211941,3
tt0212048,3
tt0212294,6
